subject,skill,diff,text,A,B,C,D,ans,explain,hint1,hint2,hint3
Toán 9,alg_system,3,Giải hệ: { 3x + 5y = 1;  3x + 4y = 2 }. Giá trị x bằng,2,1,-1,3,A,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_quadratic,1,Nghiệm của phương trình: x² - (1)x + (-2) = 0 là,x = -1 và x = -2,x = 2 và x = -1,x = 1 và x = -2,x = 2 và x = -2,B,Nhận ra (x-2)(x--1)=0 ⇒ x=2 hoặc x=-1.,Thử phân tích thành nhân tử (x-a)(x-b).,"So sánh hệ số: a+b=s, ab=p.",Kết luận nghiệm là a và b.
Toán 9,alg_quadratic,1,Nghiệm của phương trình: x² - (-2)x + (0) = 0 là,x = -2 và x = 0,x = 0 và x = 0,x = -2 và x = 0,x = -2 và x = 0,A,Nhận ra (x--2)(x-0)=0 ⇒ x=-2 hoặc x=0.,Thử phân tích thành nhân tử (x-a)(x-b).,"So sánh hệ số: a+b=s, ab=p.",Kết luận nghiệm là a và b.
Toán 9,alg_quadratic,1,Nghiệm của phương trình: x² - (1)x + (-2) = 0 là,x = 1 và x = -2,x = -1 và x = -2,x = 2 và x = -1,x = 2 và x = -2,C,Nhận ra (x-2)(x--1)=0 ⇒ x=2 hoặc x=-1.,Thử phân tích thành nhân tử (x-a)(x-b).,"So sánh hệ số: a+b=s, ab=p.",Kết luận nghiệm là a và b.
Toán 9,alg_quadratic,1,Nghiệm của phương trình: x² - (-3)x + (0) = 0 là,x = -3 và x = 0,x = -3 và x = 0,x = 0 và x = -3,x = 0 và x = 0,C,Nhận ra (x-0)(x--3)=0 ⇒ x=0 hoặc x=-3.,Thử phân tích thành nhân tử (x-a)(x-b).,"So sánh hệ số: a+b=s, ab=p.",Kết luận nghiệm là a và b.
Toán 9,alg_quadratic,1,Nghiệm của phương trình: x² - (-2)x + (-15) = 0 là,x = -2 và x = -15,x = -5 và x = 3,x = 3 và x = -15,x = -5 và x = -15,B,Nhận ra (x--5)(x-3)=0 ⇒ x=-5 hoặc x=3.,Thử phân tích thành nhân tử (x-a)(x-b).,"So sánh hệ số: a+b=s, ab=p.",Kết luận nghiệm là a và b.
Toán 9,alg_quadratic,1,Nghiệm của phương trình: x² - (-2)x + (-8) = 0 là,x = -4 và x = -8,x = -2 và x = -8,x = 2 và x = -8,x = 2 và x = -4,D,Nhận ra (x-2)(x--4)=0 ⇒ x=2 hoặc x=-4.,Thử phân tích thành nhân tử (x-a)(x-b).,"So sánh hệ số: a+b=s, ab=p.",Kết luận nghiệm là a và b.
Toán 9,alg_quadratic,1,Nghiệm của phương trình: x² - (2)x + (0) = 0 là,x = 2 và x = 0,x = 0 và x = 0,x = 2 và x = 0,x = 2 và x = 0,A,Nhận ra (x-2)(x-0)=0 ⇒ x=2 hoặc x=0.,Thử phân tích thành nhân tử (x-a)(x-b).,"So sánh hệ số: a+b=s, ab=p.",Kết luận nghiệm là a và b.
Toán 9,alg_quadratic,2,Giải phương trình: 4x² + (20)x + (24) = 0,"x = -3, -5","x = -3, -2","x = -5, 6","x = -2, 6",B,Chia 4: x² + (5)x + (6)=0 ⇒ (x--3)(x--2)=0 ⇒ x=-3 hoặc x=-2.,Có thể chia cả hai vế cho a để đơn giản.,Phân tích thành nhân tử hoặc dùng Δ.,Kết luận 2 nghiệm.
Toán 9,alg_quadratic,2,Giải phương trình: 1x² + (3)x + (2) = 0,"x = -3, 2","x = -1, 2","x = -2, -1","x = -2, -3",C,Chia 1: x² + (3)x + (2)=0 ⇒ (x--2)(x--1)=0 ⇒ x=-2 hoặc x=-1.,Có thể chia cả hai vế cho a để đơn giản.,Phân tích thành nhân tử hoặc dùng Δ.,Kết luận 2 nghiệm.
Toán 9,alg_quadratic,2,Giải phương trình: 4x² + (-12)x + (-16) = 0,"x = -1, 4","x = -1, 3","x = 3, -4","x = 4, -4",A,Chia 4: x² + (-3)x + (-4)=0 ⇒ (x--1)(x-4)=0 ⇒ x=-1 hoặc x=4.,Có thể chia cả hai vế cho a để đơn giản.,Phân tích thành nhân tử hoặc dùng Δ.,Kết luận 2 nghiệm.
Toán 9,alg_quadratic,2,Giải phương trình: 4x² + (16)x + (0) = 0,"x = -4, 0","x = 0, -4","x = -4, 0","x = 0, -4",B,Chia 4: x² + (4)x + (0)=0 ⇒ (x-0)(x--4)=0 ⇒ x=0 hoặc x=-4.,Có thể chia cả hai vế cho a để đơn giản.,Phân tích thành nhân tử hoặc dùng Δ.,Kết luận 2 nghiệm.
Toán 9,alg_quadratic,2,Giải phương trình: 1x² + (3)x + (2) = 0,"x = -1, 2","x = -2, -1","x = -2, -3","x = -3, 2",B,Chia 1: x² + (3)x + (2)=0 ⇒ (x--2)(x--1)=0 ⇒ x=-2 hoặc x=-1.,Có thể chia cả hai vế cho a để đơn giản.,Phân tích thành nhân tử hoặc dùng Δ.,Kết luận 2 nghiệm.
Toán 9,alg_quadratic,2,Giải phương trình: 4x² + (-28)x + (48) = 0,"x = 7, 12","x = 4, 12","x = 3, 4","x = 3, 7",C,Chia 4: x² + (-7)x + (12)=0 ⇒ (x-3)(x-4)=0 ⇒ x=3 hoặc x=4.,Có thể chia cả hai vế cho a để đơn giản.,Phân tích thành nhân tử hoặc dùng Δ.,Kết luận 2 nghiệm.
Toán 9,alg_quadratic,2,Giải phương trình: 3x² + (0)x + (-27) = 0,"x = 3, 0","x = 3, -3","x = -3, -9","x = 0, -9",B,Chia 3: x² + (0)x + (-9)=0 ⇒ (x-3)(x--3)=0 ⇒ x=3 hoặc x=-3.,Có thể chia cả hai vế cho a để đơn giản.,Phân tích thành nhân tử hoặc dùng Δ.,Kết luận 2 nghiệm.
Toán 9,alg_quadratic,3,"Với phương trình 2x² + (-5)x + (-1) = 0, Δ bằng",34,25,33,41,C,Δ = b² - 4ac = (-5)² - 4·2·(-1) = 33.,Nhớ công thức Δ = b² - 4ac.,"Thay a,b,c vào công thức.",Tính cẩn thận dấu âm của c.
Toán 9,alg_quadratic,3,"Với phương trình 3x² + (9)x + (0) = 0, Δ bằng",69,93,81,82,C,Δ = b² - 4ac = (9)² - 4·3·(0) = 81.,Nhớ công thức Δ = b² - 4ac.,"Thay a,b,c vào công thức.",Tính cẩn thận dấu âm của c.
Toán 9,alg_quadratic,3,"Với phương trình 4x² + (-1)x + (7) = 0, Δ bằng",-127,-111,-95,-110,B,Δ = b² - 4ac = (-1)² - 4·4·(7) = -111.,Nhớ công thức Δ = b² - 4ac.,"Thay a,b,c vào công thức.",Tính cẩn thận dấu âm của c.
Toán 9,alg_quadratic,3,"Với phương trình 4x² + (1)x + (-1) = 0, Δ bằng",33,1,18,17,D,Δ = b² - 4ac = (1)² - 4·4·(-1) = 17.,Nhớ công thức Δ = b² - 4ac.,"Thay a,b,c vào công thức.",Tính cẩn thận dấu âm của c.
Toán 9,alg_quadratic,3,"Với phương trình 1x² + (-1)x + (9) = 0, Δ bằng",-39,-31,-34,-35,D,Δ = b² - 4ac = (-1)² - 4·1·(9) = -35.,Nhớ công thức Δ = b² - 4ac.,"Thay a,b,c vào công thức.",Tính cẩn thận dấu âm của c.
Toán 9,alg_quadratic,3,"Với phương trình 4x² + (-1)x + (-4) = 0, Δ bằng",65,81,49,66,A,Δ = b² - 4ac = (-1)² - 4·4·(-4) = 65.,Nhớ công thức Δ = b² - 4ac.,"Thay a,b,c vào công thức.",Tính cẩn thận dấu âm của c.
Toán 9,alg_function_linear,1,"Với hàm số y = 2x + (-1), hệ số góc là",2,1,-1,-2,A,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,1,"Với hàm số y = -3x + (-1), hệ số góc là",-3,-1,-4,3,A,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,1,"Với hàm số y = 1x + (6), hệ số góc là",7,-1,6,1,D,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,1,"Với hàm số y = 2x + (-5), hệ số góc là",-5,2,-3,-2,B,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,1,"Với hàm số y = 3x + (1), hệ số góc là",1,4,3,-3,C,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,1,"Với hàm số y = 4x + (6), hệ số góc là",4,6,10,-4,A,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,1,"Với hàm số y = -2x + (-2), hệ số góc là",-2,-4,2,-2,A,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,2,"Với hàm số y = 2x + (-5), hệ số góc là",-5,-2,-3,2,D,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,2,"Với hàm số y = -1x + (2), hệ số góc là",1,2,1,-1,D,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,2,"Với hàm số y = -4x + (1), hệ số góc là",1,4,-3,-4,D,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,2,"Với hàm số y = -1x + (2), hệ số góc là",-1,1,2,1,A,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,2,"Với hàm số y = -2x + (1), hệ số góc là",-1,-2,2,1,B,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,2,"Với hàm số y = 3x + (5), hệ số góc là",8,-3,3,5,C,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,2,"Với hàm số y = 1x + (-1), hệ số góc là",-1,-1,1,0,C,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,3,"Với hàm số y = 4x + (3), hệ số góc là",7,3,4,-4,C,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,3,"Với hàm số y = 2x + (-1), hệ số góc là",2,1,-1,-2,A,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,3,"Với hàm số y = -2x + (3), hệ số góc là",1,3,-2,2,C,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,3,"Với hàm số y = 2x + (5), hệ số góc là",7,2,5,-2,B,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,3,"Với hàm số y = -5x + (-4), hệ số góc là",5,-4,-5,-9,C,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_function_linear,3,"Với hàm số y = 2x + (-6), hệ số góc là",-4,2,-2,-6,B,"Trong y=ax+b, hệ số góc là a.",Nhớ dạng chuẩn y=ax+b.,Hệ số trước x chính là a.,Kết luận.
Toán 9,alg_statistics,1,"Tính trung bình cộng của dãy số: 5, 6, 7, 2, 6",5.2,5,6,4,A,TBC = (tổng)/5 = (26)/5 = 5.2.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,1,"Tính trung bình cộng của dãy số: 1, 2, 4, 5, 4",3,2,4,3.2,D,TBC = (tổng)/5 = (16)/5 = 3.2.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,1,"Tính trung bình cộng của dãy số: 2, 8, 3, 5, 1",3,2,4,3.8,D,TBC = (tổng)/5 = (19)/5 = 3.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,1,"Tính trung bình cộng của dãy số: 6, 7, 3, 4, 9",6,5.8,5,4,B,TBC = (tổng)/5 = (29)/5 = 5.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,1,"Tính trung bình cộng của dãy số: 2, 7, 4, 8, 3",4.8,4,3,5,A,TBC = (tổng)/5 = (24)/5 = 4.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,1,"Tính trung bình cộng của dãy số: 1, 8, 5, 9, 3",4,5,6,5.2,D,TBC = (tổng)/5 = (26)/5 = 5.2.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,1,"Tính trung bình cộng của dãy số: 5, 7, 5, 8, 5",6,6,5,7,A,TBC = (tổng)/5 = (30)/5 = 6.0.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,2,"Tính trung bình cộng của dãy số: 7, 6, 5, 5, 1",4,4.8,5,3,B,TBC = (tổng)/5 = (24)/5 = 4.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,2,"Tính trung bình cộng của dãy số: 1, 8, 5, 4, 6",3,4.8,4,5,B,TBC = (tổng)/5 = (24)/5 = 4.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,2,"Tính trung bình cộng của dãy số: 3, 2, 1, 5, 8",2,4,3,3.8,D,TBC = (tổng)/5 = (19)/5 = 3.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,2,"Tính trung bình cộng của dãy số: 2, 5, 6, 7, 3",4,3,4.6,5,C,TBC = (tổng)/5 = (23)/5 = 4.6.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,2,"Tính trung bình cộng của dãy số: 5, 3, 5, 8, 5",4,6,5.2,5,C,TBC = (tổng)/5 = (26)/5 = 5.2.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,2,"Tính trung bình cộng của dãy số: 3, 4, 7, 9, 6",5,4,6,5.8,D,TBC = (tổng)/5 = (29)/5 = 5.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,2,"Tính trung bình cộng của dãy số: 2, 8, 6, 5, 7",6,4,5.6,5,C,TBC = (tổng)/5 = (28)/5 = 5.6.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,3,"Tính trung bình cộng của dãy số: 9, 6, 4, 2, 8",5.8,6,4,5,A,TBC = (tổng)/5 = (29)/5 = 5.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,3,"Tính trung bình cộng của dãy số: 1, 1, 5, 8, 2",4,3,2,3.4,D,TBC = (tổng)/5 = (17)/5 = 3.4.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,3,"Tính trung bình cộng của dãy số: 6, 9, 7, 3, 7",5,6,7,6.4,D,TBC = (tổng)/5 = (32)/5 = 6.4.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,3,"Tính trung bình cộng của dãy số: 5, 1, 6, 4, 8",4,5,4.8,3,C,TBC = (tổng)/5 = (24)/5 = 4.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,3,"Tính trung bình cộng của dãy số: 6, 9, 6, 1, 7",6,4,5.8,5,C,TBC = (tổng)/5 = (29)/5 = 5.8.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,alg_statistics,3,"Tính trung bình cộng của dãy số: 8, 2, 4, 1, 1",4,2,3.2,3,C,TBC = (tổng)/5 = (16)/5 = 3.2.,Cộng tất cả số lại.,Chia cho số lượng phần tử (5).,Rút gọn nếu cần.
Toán 9,geo_pythag,1,Tam giác vuông có 2 cạnh góc vuông 18 và 24. Cạnh huyền bằng,28,42,30,32,C,Áp dụng Pitago: c = √(18²+24²) = 30.,Pitago: c² = a² + b².,Tính a²+b².,Lấy căn bậc hai.
Toán 9,geo_pythag,1,Tam giác vuông có 2 cạnh góc vuông 12 và 16. Cạnh huyền bằng,20,28,18,22,A,Áp dụng Pitago: c = √(12²+16²) = 20.,Pitago: c² = a² + b².,Tính a²+b².,Lấy căn bậc hai.
Toán 9,geo_pythag,1,Tam giác vuông có 2 cạnh góc vuông 6 và 8. Cạnh huyền bằng,8,14,12,10,D,Áp dụng Pitago: c = √(6²+8²) = 10.,Pitago: c² = a² + b².,Tính a²+b².,Lấy căn bậc hai.
Toán 9,geo_pythag,1,Tam giác vuông có 2 cạnh góc vuông 6 và 8. Cạnh huyền bằng,10,14,9,11,A,Áp dụng Pitago: c = √(6²+8²) = 10.,Pitago: c² = a² + b².,Tính a²+b².,Lấy căn bậc hai.
Toán 9,geo_pythag,1,Tam giác vuông có 2 cạnh góc vuông 24 và 45. Cạnh huyền bằng,48,69,54,51,D,Áp dụng Pitago: c = √(24²+45²) = 51.,Pitago: c² = a² + b².,Tính a²+b².,Lấy căn bậc hai.
Toán 9,geo_pythag,1,Tam giác vuông có 2 cạnh góc vuông 27 và 36. Cạnh huyền bằng,48,45,42,63,B,Áp dụng Pitago: c = √(27²+36²) = 45.,Pitago: c² = a² + b².,Tính a²+b².,Lấy căn bậc hai.
Toán 9,geo_pythag,1,Tam giác vuông có 2 cạnh góc vuông 8 và 15. Cạnh huyền bằng,17,18,16,23,A,Áp dụng Pitago: c = √(8²+15²) = 17.,Pitago: c² = a² + b².,Tính a²+b².,Lấy căn bậc hai.
Toán 9,geo_pythag,2,Tam giác vuông có cạnh huyền 15 và 1 cạnh góc vuông 9. Cạnh góc vuông còn lại bằng,6,9,12,15,C,b = √(c²-a²) = √(15²-9²) = 12.,Pitago: b² = c² - a².,Tính c²-a².,Lấy căn bậc hai.
Toán 9,geo_pythag,2,Tam giác vuông có cạnh huyền 45 và 1 cạnh góc vuông 27. Cạnh góc vuông còn lại bằng,36,39,33,18,A,b = √(c²-a²) = √(45²-27²) = 36.,Pitago: b² = c² - a².,Tính c²-a².,Lấy căn bậc hai.
Toán 9,geo_pythag,2,Tam giác vuông có cạnh huyền 60 và 1 cạnh góc vuông 36. Cạnh góc vuông còn lại bằng,52,24,44,48,D,b = √(c²-a²) = √(60²-36²) = 48.,Pitago: b² = c² - a².,Tính c²-a².,Lấy căn bậc hai.
Toán 9,geo_pythag,2,Tam giác vuông có cạnh huyền 30 và 1 cạnh góc vuông 18. Cạnh góc vuông còn lại bằng,22,24,26,12,B,b = √(c²-a²) = √(30²-18²) = 24.,Pitago: b² = c² - a².,Tính c²-a².,Lấy căn bậc hai.
Toán 9,geo_pythag,2,Tam giác vuông có cạnh huyền 68 và 1 cạnh góc vuông 32. Cạnh góc vuông còn lại bằng,64,60,56,36,B,b = √(c²-a²) = √(68²-32²) = 60.,Pitago: b² = c² - a².,Tính c²-a².,Lấy căn bậc hai.
Toán 9,geo_pythag,2,Tam giác vuông có cạnh huyền 30 và 1 cạnh góc vuông 18. Cạnh góc vuông còn lại bằng,12,27,24,21,C,b = √(c²-a²) = √(30²-18²) = 24.,Pitago: b² = c² - a².,Tính c²-a².,Lấy căn bậc hai.
Toán 9,geo_pythag,2,Tam giác vuông có cạnh huyền 5 và 1 cạnh góc vuông 3. Cạnh góc vuông còn lại bằng,3,5,4,2,C,b = √(c²-a²) = √(5²-3²) = 4.,Pitago: b² = c² - a².,Tính c²-a².,Lấy căn bậc hai.
Toán 9,geo_pythag,3,"Bộ ba độ dài (6,15,25) có phải là 3 cạnh của tam giác vuông không?",Có,Không,Không,Có,B,Kiểm tra Pitago: a²+b² ≠ c² ( 36+225 ≠ 625 ).,Cạnh lớn nhất coi là cạnh huyền.,So sánh a²+b² với c².,Nếu bằng nhau thì là tam giác vuông.
Toán 9,geo_pythag,3,"Bộ ba độ dài (18,6,22) có phải là 3 cạnh của tam giác vuông không?",Có,Có,Không,Không,C,Kiểm tra Pitago: a²+b² ≠ c² ( 324+36 ≠ 484 ).,Cạnh lớn nhất coi là cạnh huyền.,So sánh a²+b² với c².,Nếu bằng nhau thì là tam giác vuông.
Toán 9,geo_pythag,3,"Bộ ba độ dài (11,9,21) có phải là 3 cạnh của tam giác vuông không?",Không,Không,Có,Có,A,Kiểm tra Pitago: a²+b² ≠ c² ( 121+81 ≠ 441 ).,Cạnh lớn nhất coi là cạnh huyền.,So sánh a²+b² với c².,Nếu bằng nhau thì là tam giác vuông.
Toán 9,geo_pythag,3,"Bộ ba độ dài (16,8,20) có phải là 3 cạnh của tam giác vuông không?",Không,Có,Có,Không,A,Kiểm tra Pitago: a²+b² ≠ c² ( 256+64 ≠ 400 ).,Cạnh lớn nhất coi là cạnh huyền.,So sánh a²+b² với c².,Nếu bằng nhau thì là tam giác vuông.
Toán 9,geo_pythag,3,"Bộ ba độ dài (13,5,15) có phải là 3 cạnh của tam giác vuông không?",Có,Không,Có,Không,B,Kiểm tra Pitago: a²+b² ≠ c² ( 169+25 ≠ 225 ).,Cạnh lớn nhất coi là cạnh huyền.,So sánh a²+b² với c².,Nếu bằng nhau thì là tam giác vuông.
Toán 9,geo_pythag,3,"Bộ ba độ dài (16,5,18) có phải là 3 cạnh của tam giác vuông không?",Có,Có,Không,Không,C,Kiểm tra Pitago: a²+b² ≠ c² ( 256+25 ≠ 324 ).,Cạnh lớn nhất coi là cạnh huyền.,So sánh a²+b² với c².,Nếu bằng nhau thì là tam giác vuông.
Toán 9,geo_trig,1,Giá trị sin 60° bằng,0,1,1/2,√3/2,D,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,1,Giá trị sin 45° bằng,√3/2,0,√2/2,1,C,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,1,Giá trị sin 45° bằng,0,1,√3/2,√2/2,D,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,1,Giá trị sin 60° bằng,0,1/2,1,√3/2,D,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,1,Giá trị sin 60° bằng,√3/2,1,0,1/2,A,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,1,Giá trị sin 30° bằng,√3/2,1,0,1/2,D,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,1,Giá trị sin 60° bằng,√3/2,0,1,1/2,A,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,2,Giá trị sin 45° bằng,0,1,√3/2,√2/2,D,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,2,Giá trị sin 30° bằng,1/2,1,√3/2,0,A,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,2,Giá trị sin 30° bằng,1/2,0,1,√3/2,A,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,2,Giá trị sin 45° bằng,√2/2,√3/2,1,0,A,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,2,Giá trị sin 60° bằng,1,1/2,0,√3/2,D,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,2,Giá trị sin 30° bằng,1/2,0,√3/2,1,A,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,2,Giá trị sin 60° bằng,1,√3/2,0,1/2,B,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,3,Giá trị sin 45° bằng,√2/2,√3/2,1,0,A,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,3,Giá trị sin 45° bằng,1,√3/2,0,√2/2,D,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,3,Giá trị sin 60° bằng,0,√3/2,1,1/2,B,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
Toán 9,geo_trig,3,Giá trị sin 45° bằng,√3/2,0,√2/2,1,C,"Nhớ các giá trị lượng giác góc đặc biệt 30°,45°,60°.",Ghi nhớ bảng sin/cos góc 30-45-60.,So sánh với tam giác vuông đặc biệt.,Chọn đáp án đúng.
